#{"t_start": 1780600309.3689928, "env_id": "None"}
r,l,t,n_delivered,n_invalid,n_empty_grab,n_physics_attempts,sum_grasp_quality,sum_disturb_m,sum_disturb_raw_m,max_disturb_m,n_ejected,n_predicate_succ,n_objects_initial
78.25682,60,163263.872565,15,0,0,60,18.0,0.6315940491164777,1.2436105075367752,0.036391209577458714,0,15,20
92.97074,57,163263.872651,20,0,0,57,21.4,0.6246345866617135,1.3604404419473917,0.0970944981009059,0,20,20
79.62088,60,163266.76659,15,0,2,58,25.40000000000001,0.5795731762271378,1.3245201138945564,0.08285542796991531,0,15,20
77.68502,60,163270.172644,15,0,2,58,19.6,0.6775030543581713,1.296926019329314,0.06985791260550399,0,15,20
86.39419,60,163273.267785,18,0,4,56,23.200000000000003,0.5929302348159992,1.1464254072935371,0.10861431481674247,0,18,20
82.900826,60,163273.267869,17,0,4,56,20.0,0.6096088479630014,1.316113861815081,0.043204190656732734,0,17,20
70.98929,60,163273.267894,13,0,1,59,16.6,0.7853567708826898,1.6126391316754134,0.07935184730034685,0,13,20
90.62566,60,163307.528454,19,0,1,59,20.4,0.5971949905195358,1.2879284935745787,0.076177813897199,0,19,20
78.4696,60,163326.120017,15,0,0,60,18.2,0.5552043111751357,1.2359273991237665,0.060039125080392566,0,15,20
75.19101,60,163354.390497,14,0,2,58,20.800000000000004,0.5845054561360925,1.3265709662301506,0.04706311883885454,0,14,20
71.337234,60,163386.671959,13,0,0,60,18.400000000000002,0.6513874151231881,1.3883064647468035,0.07506539686512362,1,13,20
75.35997,60,163400.762809,14,0,0,60,22.0,1.2000176021714157,2.346804226512774,0.08623715771078574,0,14,20
76.761986,60,163418.860988,15,0,2,58,19.8,0.6690099491990739,1.3702169076065018,0.05606873224210894,1,15,20
76.13772,60,163432.815591,15,0,2,58,18.6,1.0311414159236008,1.864586551568704,0.06551622784253994,0,15,20
72.10992,60,163435.889255,13,0,0,60,18.000000000000004,0.7450478126802715,1.5136840942436034,0.04923403794670627,0,13,20
78.34157,60,163435.889363,15,0,0,60,19.6,0.8292319982553515,1.640446423606269,0.043466579910135035,0,15,20
84.78755,60,163439.538212,17,0,0,60,23.400000000000006,0.6362365025485324,1.1827816036535466,0.06354589498865322,1,17,20
87.95676,60,163442.297122,18,0,1,59,22.400000000000002,0.7116373720989241,1.3953215757506205,0.04815048038717599,0,18,20
68.61894,60,163446.176199,12,0,3,57,21.0,0.6505399082556406,1.5944247701616285,0.05511031694048125,0,12,20
64.906876,60,163446.176307,11,0,2,58,18.0,0.7865582874134863,1.5393344920725387,0.09262286023684577,0,11,20
75.40364,60,163446.176332,15,0,6,54,17.200000000000003,0.4582014255956403,0.9942754974412503,0.05313330973082378,0,15,20
77.756905,60,163467.181964,15,0,1,59,18.4,0.7115537086090439,1.4806212437446922,0.05542515431343241,0,16,20
82.30369,60,163486.768483,16,0,0,60,20.6,0.5381572780737031,1.2844110910196695,0.054455001668092945,0,16,20
